index,Job Title,Salary Estimate,Location,Avg Salary(K),Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Degree
54,Data Scientist,$68K-$114K ,"Fort Lauderdale, FL",91.0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,na
55,"Data Scientist, Office of Data Science",$86K-$143K ,"Boston, MA",114.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
56,Data Science Analyst,$41K-$95K ,"Huntsville, AL",68.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,na
57,Data Scientist,$86K-$144K ,"Armonk, NY",115.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,M
58,Data Scientist,$80K-$139K ,"San Diego, CA",109.5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,na
59,Data Scientist,$56K-$95K ,"Albuquerque, NM",75.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
60,Data Scientist,$120K-$189K ,"San Francisco, CA",154.5,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,P
61,Data Scientist,$111K-$176K ,"Saint Louis, MO",143.5,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,na
62,Data Scientist,$54K-$93K ,"Baltimore, MD",73.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
63,Data Scientist,$71K-$119K ,"Dallas, TX",95.0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,na
65,Senior Data Scientist,$82K-$132K ,"Cincinnati, OH",107.0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,M
66,Data Scientist,$84K-$146K ,"New York, NY",115.0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,na
67,Senior Risk Data Scientist,$107K-$172K ,"Palo Alto, CA",139.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,M
68,Data Scientist in Artificial Intelligence Early Career,$49K-$85K ,"Richland, WA",67.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,M
70,Data Scientist,$61K-$109K ,"Coraopolis, PA",85.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,M
72,Data Scientist,$88K-$148K ,"Framingham, MA",118.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,P
73,Data Scientist,$60K-$99K ,"Atlanta, GA",79.5,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,na
75,Data Scientist - Research,$41K-$72K ,"Boston, MA",56.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,na
76,Data Scientist,$96K-$161K ,"Philadelphia, PA",128.5,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,na
77,R&D Data Analysis Scientist,$65K-$130K ,"Vancouver, WA",97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
78,Analytics Consultant,$52K-$81K ,"Indianapolis, IN",66.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,na
79,"Director, Data Science",$139K-$220K ,"Lake Forest, IL",179.5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,M
80,Scientist,$50K-$102K ,"Maryland Heights, MO",76.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,P
81,Data Scientist SR,$85K-$139K ,"Charlottesville, VA",112.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,M
82,Data Scientist,$74K-$122K ,"Pittsburgh, PA",98.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,M
83,R&D Sr Data Scientist,$99K-$157K ,"Vancouver, WA",128.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,M
84,Customer Data Scientist/Sales Engineer (Bay,$79K-$222K ,"Mountain View, CA",150.5,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,P
85,Research Scientist,$57K-$118K ,"Cambridge, MA",87.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M
86,Data Scientist,$83K-$137K ,"Chantilly, VA",110.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,na
87,Data Scientist,$86K-$141K ,"San Jose, CA",113.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
88,Data Scientist,$94K-$154K ,"San Francisco, CA",124.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,na
89,Jr. Business Data Analyst,$37K-$76K ,"Harrisburg, PA",56.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,na
90,Data Scientist,$100K-$160K ,"Laurel, MD",130.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
91,Data Analyst,$55K-$100K ,"Chicago, IL",77.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,na
92,Data Engineer,$60K-$114K ,"Arlington, VA",87.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,na
93,Data Analyst,$39K-$68K ,"Tacoma, WA",53.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
94,Staff Data Scientist - Technology,$106K-$172K ,"Plano, TX",139.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,M
95,Data Scientist,$86K-$142K ,"San Jose, CA",114.0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,M
