Occupation,Total Employees,Hourly Mean,Annual Mean,Hourly Median,Annual Median
Computer Programmers,152610,46.46,96650,44.71,93000
Software Developers,1364180,58.17,120990,58.05,120730
Software Quality Assurance Analysts and Testers,190120,46.97,97710,47.22,98220
Web Developers,84820,39.09,81320,37.03,77030
Web and Digital Interface Designers,82380,45.90,95460,38.41,79890
Miscellaneous Computer Occupations,370190,47.20,98180,45.80,95270
"Computer Occupations, All Other",370190,47.20,98180,45.80,95270
Mathematical Science Occupations,264840,49.90,103800,47.44,98680
Actuaries,23040,60.24,125300,50.91,105900
Mathematicians,1770,54.05,112430,51.97,108100
Operations Research Analysts,98700,46.07,95830,39.59,82360
Statisticians,31370,47.81,99450,45.95,95570
Data Scientists,105980,52.24,108660,48.52,100910
Miscellaneous Mathematical Science Occupations,3970,37.48,77960,30.03,62460
"Mathematical Science Occupations, All Other",3970,37.48,77960,30.03,62460
Architecture and Engineering Occupations,2436520,44.10,91740,38.39,79840
"Architects, Surveyors, and Cartographers",176840,39.85,82880,37.34,77670
"Architects, Except Naval",117830,42.98,89400,38.16,79380
"Architects, Except Landscape and Naval",100400,44.19,91900,38.55,80180
Landscape Architects,17430,36.05,74980,32.67,67950
"Surveyors, Cartographers, and Photogrammetrists",59000,33.59,69870,29.78,61950
Cartographers and Photogrammetrists,12610,35.34,73510,33.12,68900
Surveyors,46390,33.12,68880,29.62,61600
Engineers,1631080,50.00,104000,47.62,99040
Aerospace Engineers,56640,59.12,122970,58.78,122270
Agricultural Engineers,1120,41.99,87350,39.73,82640
Bioengineers and Biomedical Engineers,17190,48.57,101020,46.83,97410
Chemical Engineers,24180,58.58,121840,50.75,105550
Civil Engineers,304310,45.91,95490,42.33,88050
Computer Hardware Engineers,73750,65.50,136230,61.62,128170
Electrical and Electronics Engineers,293190,53.21,110670,48.93,101780
Electrical Engineers,186020,51.87,107890,48.28,100420
"Electronics Engineers, Except Computer",107170,55.53,115490,50.39,104820
Environmental Engineers,42660,48.18,100220,46.55,96820
"Industrial Engineers, Including Health and Safety",316820,45.92,95520,45.82,95300
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",22870,47.93,99700,47.62,99040
Industrial Engineers,293950,45.77,95200,45.82,95300
Marine Engineers and Naval Architects,7380,47.03,97820,44.89,93370
Materials Engineers,21530,49.02,101950,47.26,98300
Mechanical Engineers,278240,46.64,97000,45.82,95300
"Mining and Geological Engineers, Including Mining Safety Engineers",7370,48.29,100450,46.68,97090
Nuclear Engineers,12670,58.54,121760,57.87,120380
Petroleum Engineers,22100,70.06,145720,62.91,130850
Miscellaneous Engineers,151940,51.83,107800,48.38,100640
"Engineers, All Other",151940,51.83,107800,48.38,100640
"Drafters, Engineering Technicians, and Mapping Technicians",628600,30.01,62420,28.99,60290
Drafters,185200,29.66,61680,28.99,60290
Architectural and Civil Drafters,101310,29.14,60620,29.01,60340
Electrical and Electronics Drafters,20830,32.26,67090,29.57,61510
Mechanical Drafters,47760,30.12,62650,28.94,60200
"Drafters, All Other",15300,28.04,58330,26.08,54240
"Engineering Technologists and Technicians, Except Drafters",387330,31.06,64600,29.18,60690
Aerospace Engineering and Operations Technologists and Technicians,10900,35.34,73510,35.37,73580
Civil Engineering Technologists and Technicians,64170,27.89,58000,28.04,58320
Electrical and Electronic Engineering Technologists and Technicians,101450,33.21,69070,30.60,63640
Electro-Mechanical and Mechatronics Technologists and Technicians,11590,30.71,63880,29.02,60360
Environmental Engineering Technologists and Technicians,14910,27.21,56590,23.27,48390
Industrial Engineering Technologists and Technicians,62030,29.44,61230,28.95,60220
Mechanical Engineering Technologists and Technicians,40180,30.47,63390,29.07,60460
Calibration Technologists and Technicians,8500,30.19,62800,29.01,60340
"Engineering Technologists and Technicians, Except Drafters, All Other",73600,32.83,68290,29.78,61950
Surveying and Mapping Technicians,56070,23.95,49810,22.55,46910
"Life, Physical, and Social Science Occupations",1273640,38.81,80730,34.97,72740
Life Scientists,304980,44.80,93190,38.53,80140
Agricultural and Food Scientists,31920,38.45,79970,35.66,74160
Animal Scientists,2790,38.65,80390,31.29,65090
Food Scientists and Technologists,13510,40.46,84150,37.66,78340
Soil and Plant Scientists,15610,36.68,76290,32.09,66750
Biological Scientists,117460,45.18,93970,39.75,82680
Biochemists and Biophysicists,35050,54.55,113460,49.17,102270
Microbiologists,19430,42.22,87820,38.11,79260
Zoologists and Wildlife Biologists,15930,33.80,70300,31.08,64650
"Biological Scientists, All Other",47050,43.27,90010,39.68,82530
Conservation Scientists and Foresters,32040,32.73,68080,30.65,63750
Conservation Scientists,22550,32.81,68230,30.65,63750
Foresters,9500,32.56,67710,30.82,64110
Medical Scientists,116740,49.44,102830,43.58,90640
