Job Title,Salary Estimate,Avg Salary(K),City,State,Python,spark,aws,excel,sql,sas,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Degree
Lead Data Scientist,$158K-$211K ,184.5,Bellevue, WA,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,na
Associate Data Analyst,$20K-$39K ,29.5,Longmont, CO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Spectral Scientist/Engineer,$56K-$117K ,86.5,Beavercreek, OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
College Hire - Data Scientist - Open to December 2019 Graduates,$63K-$99K ,81.0,Peoria, IL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,na
Data Scientist,$68K-$114K ,91.0,Fort Lauderdale, FL,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,na
"Data Scientist, Office of Data Science",$86K-$143K ,114.5,Boston, MA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Science Analyst,$41K-$95K ,68.0,Huntsville, AL,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,na
Data Scientist,$86K-$144K ,115.0,Armonk, NY,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Scientist,$80K-$139K ,109.5,San Diego, CA,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,na
Data Scientist,$56K-$95K ,75.5,Albuquerque, NM,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Scientist,$120K-$189K ,154.5,San Francisco, CA,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,P
Data Scientist,$111K-$176K ,143.5,Saint Louis, MO,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,na
Data Scientist,$54K-$93K ,73.5,Baltimore, MD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$71K-$119K ,95.0,Dallas, TX,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,na
Senior Data Scientist,$82K-$132K ,107.0,Cincinnati, OH,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,M
Data Scientist,$84K-$146K ,115.0,New York, NY,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,na
Senior Risk Data Scientist,$107K-$172K ,139.5,Palo Alto, CA,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,M
