Job Title,Salary Estimate,Location,Avg Salary(K),Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Degree
Associate Data Analyst,$20K-$39K ,"Longmont, CO",29.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
Spectral Scientist/Engineer,$56K-$117K ,"Beavercreek, OH",86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
College Hire - Data Scientist - Open to December 2019 Graduates,$63K-$99K ,"Peoria, IL",81.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,na
Data Scientist,$68K-$114K ,"Fort Lauderdale, FL",91.0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,na
"Data Scientist, Office of Data Science",$86K-$143K ,"Boston, MA",114.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Science Analyst,$41K-$95K ,"Huntsville, AL",68.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,na
Data Scientist,$86K-$144K ,"Armonk, NY",115.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,M
Data Scientist,$80K-$139K ,"San Diego, CA",109.5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,na
Data Scientist,$56K-$95K ,"Albuquerque, NM",75.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Scientist,$120K-$189K ,"San Francisco, CA",154.5,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,P
Data Scientist,$111K-$176K ,"Saint Louis, MO",143.5,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,na
Data Scientist,$54K-$93K ,"Baltimore, MD",73.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$71K-$119K ,"Dallas, TX",95.0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,na
Senior Data Scientist,$82K-$132K ,"Cincinnati, OH",107.0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,M
Data Scientist,$84K-$146K ,"New York, NY",115.0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,na
Senior Risk Data Scientist,$107K-$172K ,"Palo Alto, CA",139.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,M
Data Scientist in Artificial Intelligence Early Career,$49K-$85K ,"Richland, WA",67.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,M
Data Scientist,$61K-$109K ,"Coraopolis, PA",85.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,M
Data Scientist,$88K-$148K ,"Framingham, MA",118.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,P
Data Scientist,$60K-$99K ,"Atlanta, GA",79.5,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,na
Data Scientist - Research,$41K-$72K ,"Boston, MA",56.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,na
Data Scientist,$96K-$161K ,"Philadelphia, PA",128.5,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,na
R&D Data Analysis Scientist,$65K-$130K ,"Vancouver, WA",97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Analytics Consultant,$52K-$81K ,"Indianapolis, IN",66.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,na
"Director, Data Science",$139K-$220K ,"Lake Forest, IL",179.5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,M
Scientist,$50K-$102K ,"Maryland Heights, MO",76.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,P
Data Scientist SR,$85K-$139K ,"Charlottesville, VA",112.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,M
Data Scientist,$74K-$122K ,"Pittsburgh, PA",98.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,M
R&D Sr Data Scientist,$99K-$157K ,"Vancouver, WA",128.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,M
Customer Data Scientist/Sales Engineer (Bay,$79K-$222K ,"Mountain View, CA",150.5,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,P
Research Scientist,$57K-$118K ,"Cambridge, MA",87.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Scientist,$83K-$137K ,"Chantilly, VA",110.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,na
Data Scientist,$86K-$141K ,"San Jose, CA",113.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$94K-$154K ,"San Francisco, CA",124.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,na
Jr. Business Data Analyst,$37K-$76K ,"Harrisburg, PA",56.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,na
Data Scientist,$100K-$160K ,"Laurel, MD",130.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Analyst,$55K-$100K ,"Chicago, IL",77.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,na
Data Engineer,$60K-$114K ,"Arlington, VA",87.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,na
Data Analyst,$39K-$68K ,"Tacoma, WA",53.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Staff Data Scientist - Technology,$106K-$172K ,"Plano, TX",139.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,M
Data Scientist,$86K-$142K ,"San Jose, CA",114.0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,M
Data Scientist,$64K-$107K ,"Miami, FL",85.5,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,na
Data Management Specialist,$31K-$65K ,"Huntsville, AL",48.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,na
E-Commerce Data Analyst,$34K-$62K ,"New Orleans, LA",48.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,na
Sr. Scientist II,$117K-$231K ,"San Francisco, CA",174.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
Insurance Data Scientist,$64K-$106K ,"Atlanta, GA",85.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,na
Data Modeler,$79K-$134K ,"Landover, MD",106.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Analyst / Scientist,$52K-$93K ,"Patuxent River, MD",72.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,na
Scientist,$55K-$116K ,"Suitland, MD",85.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Scientist,$72K-$123K ,"McLean, VA",97.5,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,na
Data Scientist,$74K-$124K ,"Fort Belvoir, VA",99.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,na
Data Analyst,$40K-$73K ,"Milwaukee, WI",56.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,na
Lead Data Scientist,$102K-$164K ,"Silver Spring, MD",133.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$89K-$153K ,"New York, NY",121.0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,na
Data Scientist,$61K-$110K ,"Syracuse, NY",85.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,M
"Data Scientist, Rice University",$65K-$110K ,"Houston, TX",87.5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,na
Senior Data Scientist,$200K-$275KEmployer est.,"Washington, DC",237.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M
Data Engineer,$68K-$123K ,"Charlotte, NC",95.5,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,M
Senior Data Scientist,$80K-$129K ,"Southfield, MI",104.5,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,M
Financial Data Analyst,$41K-$72K ,"Matawan, NJ",56.5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,na
Senior Data Analyst,$39K-$71K ,"Phoenix, AZ",55.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,na
Research Scientist,$38K-$85K ,"Omaha, NE",61.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,P
Data Scientist,$121K-$193K ,"San Francisco, CA",157.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Engineer,$54K-$102K ,"Lyndhurst, NJ",78.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$83K-$144K ,"Cambridge, MA",113.5,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,M
Data Scientist,$120K-$160K ,"New York, NY",140.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$102K-$163K ,"San Francisco, CA",132.5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,M
Data Engineer,$76K-$140K ,"San Francisco, CA",108.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,M
Ag Data Scientist,$60K-$101K ,"Atlanta, IN",80.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
Data Scientist,$82K-$133K ,"Rockville, MD",107.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
